Severity,Scenario,Precision mean,Precision std,Recall mean,Recall std,F1-Score mean,F1-Score std,ROC-AUC mean,ROC-AUC std,False Positive Rate mean,False Positive Rate std
Incipient,Augmented,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Incipient,Baseline,0.8703703703703703,0.11564811108145182,0.7111111111111111,0.32885885748774984,0.7510822510822511,0.24140749989354873,0.9125925925925925,0.08892591821308996,0.1111111111111111,0.13877773329774218
Severe,Augmented,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Severe,Baseline,0.9060150375939849,0.10706038245036198,0.9555555555555556,0.07698003589195007,0.9263015551048005,0.06421835364111052,0.9407407407407408,0.08769569533006655,0.1111111111111111,0.13877773329774218
